AudioMothCode,hour,,AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType,backupTime,hour
AM-1,11,410,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190619_111000.WAV,GRABADOR-SDZG-AM-1,20190619_111000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,19.06.2019 11:10,60.00046875,,Recorded at 11:10:00 19/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:25:56-08:00,WAV,WAV,audio/x-wav,11:10:00 19/06/2019,11
AM-1,12,2577,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190704_122000.WAV,GRABADOR-SDZG-AM-1,20190704_122000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,04.07.2019 12:20,60.00046875,,Recorded at 12:20:00 04/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.6V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:34:07-08:00,WAV,WAV,audio/x-wav,12:20:00 04/07/2019,12
AM-1,13,853,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190622_130000.WAV,GRABADOR-SDZG-AM-1,20190622_130000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,22.06.2019 13:00,60.00046875,,Recorded at 13:00:00 22/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.2V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:39:49-08:00,WAV,WAV,audio/x-wav,13:00:00 22/06/2019,13
AM-1,14,142,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190617_143000.WAV,GRABADOR-SDZG-AM-1,20190617_143000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,17.06.2019 14:30,60.00046875,,Recorded at 14:30:00 17/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.5V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:17:33-08:00,WAV,WAV,audio/x-wav,14:30:00 17/06/2019,14
AM-1,15,870,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190622_155000.WAV,GRABADOR-SDZG-AM-1,20190622_155000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,22.06.2019 15:50,60.00046875,,Recorded at 15:50:00 22/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.2V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:40:21-08:00,WAV,WAV,audio/x-wav,15:50:00 22/06/2019,15
AM-1,16,152,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190617_161000.WAV,GRABADOR-SDZG-AM-1,20190617_161000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,17.06.2019 16:10,60.00046875,,Recorded at 16:10:00 17/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.5V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:17:52-08:00,WAV,WAV,audio/x-wav,16:10:00 17/06/2019,16
AM-1,17,304,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190618_173000.WAV,GRABADOR-SDZG-AM-1,20190618_173000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,18.06.2019 17:30,60.00046875,,Recorded at 17:30:00 18/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:22:36-08:00,WAV,WAV,audio/x-wav,17:30:00 18/06/2019,17
AM-1,18,2812,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190707_181000.WAV,GRABADOR-SDZG-AM-1,20190707_181000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,07.07.2019 18:10,60.00046875,,Recorded at 18:10:00 07/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.6V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:38:58-08:00,WAV,WAV,audio/x-wav,18:10:00 07/07/2019,18
AM-1,19,461,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190619_194000.WAV,GRABADOR-SDZG-AM-1,20190619_194000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,19.06.2019 19:40,60.00046875,,Recorded at 19:40:00 19/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:27:33-08:00,WAV,WAV,audio/x-wav,19:40:00 19/06/2019,19
AM-1,20,1039,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190623_200000.WAV,GRABADOR-SDZG-AM-1,20190623_200000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,23.06.2019 20:00,60.00046875,,Recorded at 20:00:00 23/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.2V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:45:41-08:00,WAV,WAV,audio/x-wav,20:00:00 23/06/2019,20
AM-1,21,1333,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190625_210000.WAV,GRABADOR-SDZG-AM-1,20190625_210000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,25.06.2019 21:00,60.00046875,,Recorded at 21:00:00 25/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:54:57-08:00,WAV,WAV,audio/x-wav,21:00:00 25/06/2019,21
AM-1,22,763,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190621_220000.WAV,GRABADOR-SDZG-AM-1,20190621_220000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,21.06.2019 22:00,60.00046875,,Recorded at 22:00:00 21/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:37:01-08:00,WAV,WAV,audio/x-wav,22:00:00 21/06/2019,22
AM-1,23,1349,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190625_234000.WAV,GRABADOR-SDZG-AM-1,20190625_234000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,25.06.2019 23:40,60.00046875,,Recorded at 23:40:00 25/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:55:28-08:00,WAV,WAV,audio/x-wav,23:40:00 25/06/2019,23
AM-10,0,3513,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190616_004000.WAV,GRABADOR-SDZG-AM-10,20190616_004000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,16.06.2019 00:40,60.00046875,,Recorded at 00:40:00 16/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.4V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:07:13-08:00,WAV,WAV,audio/x-wav,00:40:00 16/06/2019,0
AM-10,1,4956,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190626_011000.WAV,GRABADOR-SDZG-AM-10,20190626_011000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,26.06.2019 01:10,60.00046875,,Recorded at 01:10:00 26/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 3.9V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:52:23-08:00,WAV,WAV,audio/x-wav,01:10:00 26/06/2019,1
AM-10,2,4532,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190623_023000.WAV,GRABADOR-SDZG-AM-10,20190623_023000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,23.06.2019 02:30,60.00046875,,Recorded at 02:30:00 23/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.0V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:39:04-08:00,WAV,WAV,audio/x-wav,02:30:00 23/06/2019,2
AM-10,3,3244,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190614_035000.WAV,GRABADOR-SDZG-AM-10,20190614_035000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,14.06.2019 03:50,60.00046875,,Recorded at 03:50:00 14/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.4V.,AudioMoth 24CE97025B2BF198,2019:12:18 08:58:49-08:00,WAV,WAV,audio/x-wav,03:50:00 14/06/2019,3
AM-10,4,4545,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190623_044000.WAV,GRABADOR-SDZG-AM-10,20190623_044000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,23.06.2019 04:40,60.00046875,,Recorded at 04:40:00 23/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.1V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:39:28-08:00,WAV,WAV,audio/x-wav,04:40:00 23/06/2019,4
